group,n,mean_predicted_prob,median_predicted_prob,mean_note_length,median_note_length,pct_female,pct_male,pct_age_20s,pct_age_30s,pct_age_40s,pct_age_50s,pct_age_Other,pct_race_White,pct_race_Black,pct_race_Hispanic,pct_race_Asian,pct_race_Other/Unknown,pct_emergency
false_positive,227,0.5361,0.5007,3249.0,2988.0,61.7,38.3,14.1,22.0,23.8,23.8,16.3,69.2,13.7,7.9,3.5,5.7,40.5
false_negative,102,0.0761,0.0605,3074.0,2669.0,49.0,51.0,7.8,22.5,25.5,8.8,35.3,75.5,8.8,7.8,1.0,6.9,27.5
overall_test,1551,0.4068,0.2006,3109.0,2663.0,60.6,39.4,17.2,21.5,20.1,18.2,23.0,70.2,13.5,6.1,3.1,7.1,37.9
