section,total_attribution,pct_of_total,n_tokens,mean_attribution_per_token
history of present illness,153.8541,36.35,24823,0.006198
brief hospital course,152.0773,35.93,28486,0.005339
past medical history,111.2079,26.28,5299,0.020987
unknown,3.9035,0.92,405,0.009638
social history,2.16,0.51,523,0.00413
