epoch,train_loss,val_auprc,train_time_s,val_time_s
1,0.400278,0.86702,3999.0,148.5
2,0.254365,0.868984,4002.5,148.2
3,0.208307,0.87636,4000.1,148.9
4,0.169868,0.879341,3997.7,147.8
5,0.143002,0.872605,3995.5,148.2
