epoch,train_loss,val_auprc,train_time_s,val_time_s
1,0.43282,0.867369,3978.6,145.4
2,0.268526,0.875705,3979.6,146.4
3,0.225811,0.878131,3979.2,146.4
4,0.177813,0.877009,3976.0,147.2
5,0.147257,0.873376,3978.8,146.2
