epoch,train_loss,val_auprc,train_time_s,val_time_s
1,0.432336,0.869028,4044.4,151.8
2,0.26951,0.878215,4040.3,151.6
3,0.224884,0.876095,4043.8,151.8
4,0.172899,0.876616,4043.4,153.1
5,0.135758,0.87595,4044.4,153.0
