epoch,train_loss,val_auprc,train_time_s,val_time_s
1,0.464907,0.863788,4015.1,148.4
2,0.303452,0.874494,4001.8,147.1
3,0.248265,0.859515,3975.2,147.1
4,0.195294,0.87321,3975.8,147.1
5,0.155203,0.866712,3979.6,145.5
