epoch,train_loss,val_auprc,train_time_s,val_time_s
1,0.385196,0.864777,3998.9,148.4
2,0.245887,0.869832,4026.0,147.4
3,0.213522,0.882569,3999.5,147.5
4,0.184057,0.879879,4003.4,147.6
5,0.147493,0.8744,4005.1,149.1
