epoch,train_loss,val_auprc,train_time_s,val_time_s
1,0.412846,0.865858,3981.6,148.6
2,0.260858,0.871114,3979.5,147.3
3,0.220728,0.876092,3976.8,147.9
4,0.178505,0.877627,3979.4,147.9
5,0.144092,0.87355,3981.6,147.3
