epoch,train_loss,val_auprc,train_time_s,val_time_s
1,0.401561,0.85477,3994.1,147.6
2,0.25771,0.874157,3996.6,147.8
3,0.216566,0.876404,3996.9,147.6
4,0.1777,0.878462,3991.0,148.4
5,0.142501,0.876432,3981.4,146.5
