epoch,train_loss,val_auprc,train_time_s,val_time_s
1,0.389195,0.779851,142.0,5.9
2,0.20154,0.82998,139.0,5.9
3,0.145708,0.82669,139.2,5.9
4,0.097019,0.830549,139.0,5.9
5,0.081125,0.834519,138.8,5.9
