epoch,train_loss,val_auprc,train_time_s,val_time_s
1,0.446049,0.867784,3978.7,147.2
2,0.277157,0.873925,3980.1,147.1
3,0.230511,0.883352,3979.8,145.4
4,0.177596,0.878615,3978.9,145.6
5,0.139816,0.874719,3979.7,146.5
